Date,Movie,Chain,Screenings,Screen_Share(%)
2019년 01월 10일(Thu),내안의 그놈,롯데시네마,822,15.3%
2019년 01월 10일(Thu),내안의 그놈,메가박스,742,16.5%
2019년 01월 10일(Thu),내안의 그놈,씨네Q,35,14.2%
2019년 01월 10일(Thu),주먹왕 랄프 2: 인터넷 속으로,CGV,1075,15.0%
2019년 01월 10일(Thu),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,714,13.3%
2019년 01월 10일(Thu),주먹왕 랄프 2: 인터넷 속으로,메가박스,669,14.9%
2019년 01월 10일(Thu),주먹왕 랄프 2: 인터넷 속으로,씨네Q,42,17.1%
2019년 01월 10일(Thu),아쿠아맨,CGV,862,12.0%
2019년 01월 10일(Thu),아쿠아맨,롯데시네마,568,10.6%
2019년 01월 10일(Thu),아쿠아맨,메가박스,570,12.7%
2019년 01월 10일(Thu),아쿠아맨,씨네Q,36,14.6%
2019년 01월 10일(Thu),극장판 공룡메카드: 타이니소어의 섬,CGV,673,9.4%
2019년 01월 10일(Thu),극장판 공룡메카드: 타이니소어의 섬,롯데시네마,436,8.1%
2019년 01월 10일(Thu),극장판 공룡메카드: 타이니소어의 섬,메가박스,392,8.7%
2019년 01월 10일(Thu),극장판 공룡메카드: 타이니소어의 섬,씨네Q,13,5.3%
2019년 01월 11일(Fri),말모이,CGV,1845,25.2%
2019년 01월 11일(Fri),말모이,롯데시네마,1673,30.4%
2019년 01월 11일(Fri),말모이,메가박스,1118,24.2%
2019년 01월 11일(Fri),말모이,씨네Q,59,23.6%
2019년 01월 11일(Fri),내안의 그놈,CGV,1103,15.1%
2019년 01월 11일(Fri),내안의 그놈,롯데시네마,934,17.0%
2019년 01월 11일(Fri),내안의 그놈,메가박스,873,18.9%
2019년 01월 11일(Fri),내안의 그놈,씨네Q,44,17.6%
2019년 01월 11일(Fri),주먹왕 랄프 2: 인터넷 속으로,CGV,1065,14.6%
2019년 01월 11일(Fri),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,719,13.1%
