rank_num,title,director,production_comp_name,importer_name,distributor_name,released_date,movie_type,movie_format,country,screen_num,total_sales,audience_num,seoul_total_sales,seoul_audience_num,genre,film_ratings,category
73,존 윅 4,채드 스타헬스키,,(주)제이앤씨미디어그룹(유)조이앤시네마,(주)레드아이스 엔터테인먼트,2023-04-12 00:00:00,개봉영화,장편,미국,1532,19935436129,1923520,6084990966,572209,액션,청소년관람불가,일반영화
74,천박사 퇴마 연구소: 설경의 비밀,김성식,(주)외유내강,,(주)씨제이이엔엠,2023-09-27 00:00:00,개봉영화,장편,한국,1511,18635492555,1916429,4206158370,426353,판타지,12세이상관람가,일반영화
75,분노의 질주: 라이드 오어 다이,루이스 리테리어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-05-17 00:00:00,개봉영화,장편,미국,1731,18474198210,1773424,4487591876,408482,액션,15세이상관람가,일반영화
76,교섭,임순례,(주)영화사수박원테이크필름,,플러스엠 엔터테인먼트,2023-01-18 00:00:00,개봉영화,장편,한국,1289,17460908740,1721100,3694134663,355275,드라마,12세이상관람가,일반영화
77,앤트맨과 와스프: 퀀텀매니아,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-02-15 00:00:00,개봉영화,장편,미국,2090,16346738806,1551129,4870924016,434458,액션,12세이상관람가,일반영화
78,잠,유재선,(주)루이스 픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-06 00:00:00,개봉영화,장편,한국,1231,13817855033,1462621,3709945927,385986,미스터리,15세이상관람가,일반영화
79,달짝지근해: 7510,이한,(주)무비락,,(주)마인드마크,2023-08-15 00:00:00,개봉영화,장편,한국,884,13445519901,1388309,2731589483,276799,코미디,12세이상관람가,일반영화
80,드림,이병헌,(주)옥토버시네마(주)노브레이크필름,,플러스엠 엔터테인먼트,2023-04-26 00:00:00,개봉영화,장편,한국,1285,10818979597,1128080,2625066919,262784,코미디,12세이상관람가,일반영화
81,파묘,장재현,(주)쇼박스,,(주)쇼박스,2024-02-22 00:00:00,개봉영화,장편,한국,2355,115148478414,11913725,26979812331,2723228,미스터리,15세이상관람가,일반영화
82,범죄도시4,허명행,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,,주식회사 에이비오엔터테인먼트플러스엠 엔터테인먼트,2024-04-24 00:00:00,개봉영화,장편,한국,2980,110038420734,11501621,22859743231,2314667,액션,15세이상관람가,일반영화
83,인사이드 아웃 2,켈시 만,월트 디즈니 픽쳐스픽사 애니메이션 스튜디오,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-06-12 00:00:00,개봉영화,장편,미국,2619,84497335536,8797744,22328502271,2217728,애니메이션,전체관람가,일반영화
84,베테랑2,류승완,(주)외유내강,,(주)씨제이이엔엠,2024-09-13 00:00:00,개봉영화,장편,한국,2691,72473154214,7525218,14954281776,1489631,액션,15세이상관람가,일반영화
85,파일럿,김한결,쇼트케이크(주)(주)무비락,,롯데컬처웍스(주)롯데엔터테인먼트,2024-07-31 00:00:00,개봉영화,장편,한국,1956,43203312662,4717829,9239648114,980687,코미디,12세이상관람가,일반영화
86,웡카,폴 킹,,워너브러더스 코리아(주),워너브러더스 코리아(주),2024-01-31 00:00:00,개봉영화,장편,미국,1753,33956553189,3531468,9833219001,981614,판타지,전체관람가,일반영화
87,탈주,이종필,더램프(주),,플러스엠 엔터테인먼트,2024-07-03 00:00:00,개봉영화,장편,한국,1234,24102200596,2546988,5683813805,575615,액션,12세이상관람가,일반영화
88,듄: 파트2,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),2024-02-28 00:00:00,개봉영화,장편,미국,1544,23639319949,2016202,9741110013,761213,액션,12세이상관람가,일반영화
89,데드풀과 울버린,숀 레비,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-07-24 00:00:00,개봉영화,장편,미국,1948,20489758130,1976981,6668519690,612283,액션,청소년관람불가,일반영화
90,에이리언: 로물루스,페데 알바레즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-08-14 00:00:00,개봉영화,장편,미국,1436,20444058430,2002040,5989833813,561350,공포(호러),15세이상관람가,일반영화
91,베놈: 라스트 댄스,켈리 마르셀,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2024-10-23 00:00:00,개봉영화,장편,미국,1663,17198484488,1757623,4378146970,423172,액션,15세이상관람가,일반영화
92,하이재킹,김성한,(주)퍼펙트스톰필름,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점(주)키다리스튜디오,2024-06-21 00:00:00,개봉영화,장편,한국,1155,16840983086,1773728,4040428554,410245,범죄,12세이상관람가,일반영화
93,핸섬가이즈,남동협,(주)하이브미디어코프,,(주)넥스트엔터테인먼트월드(NEW),2024-06-26 00:00:00,개봉영화,장편,한국,965,16578729601,1774278,3634843613,379373,코미디,15세이상관람가,일반영화
94,쿵푸팬더4,마이크 미첼스테파니 스티네,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-04-10 00:00:00,개봉영화,장편,미국,2311,16522806152,1770394,3901280844,398667,애니메이션,전체관람가,일반영화
95,퓨리오사: 매드맥스 사가,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2024-05-22 00:00:00,개봉영화,장편,미국,1442,16489560088,1605451,5790118396,525712,액션,15세이상관람가,일반영화
96,시민덕희,박영주,(주)씨제스스튜디오페이지원필름(주),,(주)쇼박스,2024-01-24 00:00:00,개봉영화,장편,한국,1272,16173940097,1715024,3307511645,344020,드라마,15세이상관람가,일반영화
97,슈퍼배드 4,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-07-24 00:00:00,개봉영화,장편,미국,1178,14201711607,1561945,3051527835,317261,애니메이션,전체관람가,일반영화
98,외계+인 2부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2024-01-10 00:00:00,개봉영화,장편,한국,1390,13792326337,1430121,3321420005,330032,기타,12세이상관람가,일반영화
99,위시,크리스 벅폰 비라선손,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-01-03 00:00:00,개봉영화,장편,미국,1421,13379469253,1403386,3552631510,357704,애니메이션,전체관람가,일반영화
100,그녀가 죽었다,김세휘,엔진 필름,,(주)콘텐츠지오(주)아티스트스튜디오(주)무빙픽쳐스컴퍼니,2024-05-15 00:00:00,개봉영화,장편,한국,1008,11805001596,1236662,2814398902,287043,미스터리,15세이상관람가,일반영화
